Neighborhood,Year,Num of Total Incidents,Num of Assaults,Num of Burglaries,Num of Disorderly Conduct Offenses,Num of Drug/Narcotic Offenses,Num of Fraud Offenses,Num of Larceny/Theft Offenses,Num of Malicious Mischief Offenses,Number of Missing Persons,Num of Motor Vehicle Thefts,Num of Non-Criminal Offenses,Num of Robberies,Num of Suspicious Occ,Num of Vandalism Offenses,Num of Warrants,Num of Weapons Offenses,Num of Severity Category 0,Num of Severity Category 1,Num of Severity Category 2,Num of Severity Category 3,Num of Pit Stops,Location Coordinates,Latitude,Longitude,Location ID
Sunset/Parkside,2005,2014,148,114,9,22,54,212,0,23,446,238,27,135,167,51,11,986,519,23,486,0,"[-122.46085, 37.762616]",37.74944528,-122.4921961,94122
Tenderloin,2005,7153,744,146,26,1574,79,848,0,65,267,669,208,196,155,647,80,2280,2482,65,2326,0,"[-122.426242, 37.769644]",37.78317822,-122.4149952,94102
All,2006,59536,5484,3084,228,3982,1145,12161,0,1055,3241,5873,1801,2084,3412,2746,583,26674,14719,1536,16607,0,,,,
Bayview Hunters Point,2006,4243,500,211,13,317,43,303,0,140,257,239,162,215,270,238,90,1544,1109,229,1361,0,"[-122.380062, 37.752064]",37.73172103,-122.3908293,94124
Castro/Upper Market,2006,1547,142,131,6,67,39,377,0,29,121,167,45,48,80,65,9,833,312,37,365,0,"[-122.428262, 37.769541]",37.76227942,-122.4347804,94114
Financial District/South Beach,2006,3453,229,265,3,37,115,1395,0,36,105,373,101,98,139,83,16,2112,595,46,700,0,"[-122.392429, 37.793835]",37.78912545,-122.4013418,94111
Golden Gate Park,2006,464,24,5,1,83,3,88,0,5,31,59,10,6,13,36,4,161,117,11,175,0,"[-122.4700014, 37.76961699]",37.76961699,-122.4700014,94121
Haight Ashbury,2006,1122,80,88,16,78,26,185,0,28,83,97,23,31,62,71,16,477,288,30,327,0,"[-122.4430863, 37.76906862]",37.76906862,-122.4430863,94117
Inner Sunset,2006,700,56,44,2,8,29,151,0,25,59,93,8,33,49,15,0,326,153,27,194,0,"[-122.4639968, 37.76188868]",37.76188868,-122.4639968,94122
Mission,2006,7027,676,213,64,756,118,940,0,105,319,676,234,177,305,410,88,2484,2090,155,2298,0,"[-122.405212, 37.763469]",37.76137927,-122.4166019,94110
