Incident Year,Neighborhood Name,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,CASE CLOSURE,CIVIL SIDEWALKS,COURTESY REPORT,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FIRE REPORT,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,HOMICIDE,"HUMAN TRAFFICKING (B), INVOLUNTARY SERVITUDE","HUMAN TRAFFICKING, COMMERCIAL SEX ACTS",KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,LOST PROPERTY,MALICIOUS MISCHIEF,MISCELLANEOUS INVESTIGATION,MISSING PERSON,MOTOR VEHICLE THEFT,NON-CRIMINAL,OFFENCES AGAINST THE FAMILY AND CHILDREN,OTHER MISCELLANEOUS,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RAPE,RECOVERED VEHICLE,ROBBERY,SECONDARY CODES,SEX OFFENSE,"SEX OFFENSES, FORCIBLE","SEX OFFENSES, NON FORCIBLE",STOLEN PROPERTY,SUICIDE,SUSPICIOUS,SUSPICIOUS OCC,TRAFFIC COLLISION,TRAFFIC VIOLATION ARREST,TREA,TRESPASS,VANDALISM,VEHICLE IMPOUNDED,VEHICLE MISPLACED,WARRANTS,WEAPONS OFFENSE,missing,NUMBER OF PIT STOPS
2019,Castro/Upper Market,8,342,0,0,188,25,65,6,100,0,86,0,2,0,3,15,132,0,0,0,0,0,1208,3,0,163,263,30,48,151,275,92,306,65,0,0,1,89,82,0,12,0,0,20,5,0,87,4,45,0,0,7,1,1,240,41,0,2
2019,Financial District/South Beach,34,770,0,0,689,67,2,7,165,0,113,0,31,0,8,78,487,0,1,0,9,0,5424,0,0,649,842,68,118,258,566,126,1050,93,0,78,3,100,396,0,15,0,0,87,4,1,196,18,123,0,0,9,1,5,332,98,0,1
2019,Golden Gate Park,1,59,0,0,35,17,1,5,11,0,25,0,1,0,4,5,30,0,0,0,0,0,615,0,0,29,99,13,87,46,99,22,108,18,0,0,1,41,14,0,2,0,0,10,2,0,28,4,30,0,0,3,8,0,31,4,0,2
2019,Haight Ashbury,11,108,0,0,99,34,207,2,26,0,107,0,1,0,9,9,72,0,0,0,0,0,627,0,0,36,125,21,74,108,149,42,146,61,0,0,0,35,27,0,9,0,0,3,1,0,33,5,35,0,0,2,1,4,116,20,0,1
2019,Mission,35,1255,0,0,460,35,9,44,347,0,603,0,26,0,19,72,373,2,2,0,8,0,3698,8,0,460,839,170,366,510,955,336,1708,192,0,170,3,286,481,0,26,0,0,75,4,5,289,26,431,0,0,22,2,19,874,273,4,5
2019,North Beach,3,201,0,0,115,15,5,2,61,0,35,0,6,0,1,13,136,0,0,0,0,0,2123,0,0,170,284,12,36,96,232,45,265,47,0,0,0,34,87,0,7,0,0,34,1,0,67,4,36,0,0,6,2,0,81,31,0,1
2019,South of Market,23,969,0,0,436,136,2,28,230,0,597,0,15,0,8,41,272,1,2,0,4,0,2697,2,0,317,663,71,324,348,875,226,1136,230,0,7,4,305,311,0,213,0,0,70,8,6,214,28,182,0,0,18,8,1,869,117,0,2
2019,Sunset/Parkside,11,184,0,0,173,11,0,19,79,0,28,0,2,0,3,15,272,0,0,0,0,0,1057,1,0,116,264,76,176,218,371,134,219,62,0,0,1,91,58,0,7,0,0,16,3,0,94,17,43,0,0,16,2,2,69,21,0,1
2019,Tenderloin,26,1290,0,0,312,26,7,42,258,0,1456,0,34,0,3,49,266,0,2,0,1,0,3053,1,0,464,522,94,347,278,1172,369,1369,379,0,111,7,287,449,0,30,0,0,93,4,0,337,23,187,0,0,4,2,2,1140,208,0,9
2020,Bayview Hunters Point,28,517,0,0,194,11,0,23,153,0,48,0,16,0,31,16,101,0,0,0,0,0,769,0,0,60,391,101,135,495,251,262,456,110,0,0,0,474,149,0,4,0,0,25,0,0,149,28,46,0,0,7,17,2,143,180,14,1
2020,Castro/Upper Market,12,136,0,0,251,6,6,1,23,0,31,0,2,0,4,8,66,0,0,0,0,0,679,0,0,45,235,26,31,150,156,70,198,30,0,0,1,68,28,0,13,0,0,8,1,0,42,0,28,0,0,4,0,1,90,15,10,2
2020,Financial District/South Beach,13,327,0,0,562,32,2,10,80,0,36,0,10,0,8,21,150,0,1,0,0,0,1677,2,0,167,504,22,70,149,282,54,538,57,0,10,0,66,213,0,3,0,0,33,3,0,86,10,39,0,0,8,3,0,143,49,15,2
2020,Golden Gate Park,9,31,0,0,29,9,0,2,4,0,16,0,0,0,1,1,15,0,0,0,0,0,270,0,0,14,46,3,55,43,67,12,31,17,0,0,0,24,12,0,1,0,0,2,0,0,10,4,2,0,0,1,0,0,6,6,0,2
2020,Haight Ashbury,6,52,0,0,162,5,10,2,23,0,30,0,0,0,2,3,23,0,0,0,0,0,400,0,0,17,104,5,55,100,74,26,75,18,0,0,0,32,13,0,2,0,0,8,0,0,34,1,13,0,0,4,0,0,21,4,7,1
2020,Mission,44,612,0,0,519,9,3,17,189,0,149,0,21,0,22,25,157,0,1,0,7,0,1647,3,0,174,576,86,160,524,496,176,883,152,0,24,1,257,232,0,15,0,0,52,1,1,146,16,180,0,0,28,6,8,362,166,39,5
2020,North Beach,8,71,0,0,142,12,0,0,22,0,21,0,1,0,2,4,45,0,0,0,0,0,632,0,0,40,113,13,24,58,104,36,130,27,0,0,0,23,38,0,1,0,0,19,1,0,31,6,8,0,0,3,0,1,44,14,4,1
2020,South of Market,22,530,0,0,455,68,0,8,116,0,257,0,10,0,9,12,116,0,2,0,1,0,1078,0,0,97,475,46,145,252,475,136,545,130,0,0,5,272,176,0,92,0,0,37,5,4,134,7,69,0,0,18,4,2,318,83,13,2
2020,Sunset/Parkside,10,103,0,0,101,11,0,9,35,0,7,0,1,0,5,17,151,0,0,0,0,0,608,0,0,51,151,49,71,186,171,98,127,44,0,1,0,68,34,0,4,0,0,7,3,1,76,6,15,0,0,12,0,0,40,19,4,1
2020,Tenderloin,19,722,0,0,321,15,0,20,118,0,1091,0,21,0,4,37,104,0,1,0,1,0,1099,1,0,169,446,72,182,246,655,144,736,291,0,9,1,223,247,0,16,0,0,37,1,2,183,20,106,0,0,9,1,1,467,113,28,9
