Year,Neighborhood,Total Population,% Female,% Male,Total Num of Households,% Family Households,% Households with Children,% Non-Family Households,% Single Person Households,Avg Household Size,Avg Family Household Size,% Black/African American,% Asian,% White,% Native American Indian,% Native Hawaiian/Pacific Islander,% Other/Two or More Races,% Latino (of Any Race),% 0-4 years,% 5-17 years,% 18-34 years,% 35-59 years,% 60 and older,Median Age (years),% High School or Less,% Some College/Associate Degree,% College Degree,% Graduate/Professional Degree,% Foreign Born,% English Only Spoken at Home,% Spanish Only Spoken at Home,% Asian/Pacific Islander Language Spoken at Home,% Other European Language Spoken at Home,% Other Languages Spoken at Home,Total Num of Housing Units,Num of Units Built During 2010,Median Year Structure Built,% Occupied Units,% Vacant Units,% Owner Occupied Units,% Renter Occupied Units,Median Year Moved In to Unit (Own),Median Year Moved In to Unit (Rent),% in Same House Last Year,% Single Family Housing,% 2-4 Units,% 5-9 Units,% 10-19 Units,% 20 Units or more,Median Rent ($),Median Home Value ($),Median Rent as % of Household Income,Vehicles Available,% Homeowners who Own Cars,% Renters who Own Cars,Num of Households With No Vehicle,% Homeowning Households With No Vehicle,% Renting Households With No Vehicle,Median Household Income ($),Median Family Income ($),Per Capita Income ($),% in Poverty,Unemployment Rate (%),Num of Employed Residents,% Managerial and Professional Occupations,% Service Occupations,% Sales and Office Occupations,% Construction and Maintenance Occupations,% Production and Transportation Occupations,Num of Workers 16 years and over,% Workers who Drove a Car to Work,% Workers Who Drove Alone,% Workers Who Carpooled,% Workers Who Used Transit,% Workers Who Rode a Bike to Work,% Workers Who Walked to Work,% Workers Who Used Other Transportation,% Workers Who Worked at Home,Population Density per Acre
2011,Castro/Upper Market,19790,36,64,10880,22,9,78,46,1.8,2.7,2,10,80,0.4,0.1,8,9,3,4,26,54,13,,10,17,42,32,17,81,7,4,6,1,11790,0,1939,92,8,41,59,2000,2010,,26,40,15,7,11,1660,942398,25,11080,55,45,2680,8,36,109054,143619,76813,7,6,14200,69,8,19,2,1,13950,38,34,5,40,4,8,3,8,
2011,Tenderloin,44240,40,60,25000,21,6,73,63,1.6,3,10,28,46,1,0.4,15,18,2,5,35,37,22,,40,25,24,11,42,52,14,26,7,2,27780,50,1939,90,10,5,95,2004,2010,,2,2,2,10,84,880,480556,31,4670,14,86,18560,46,83,25024,34816,26329,27,11,18480,37,32,23,2,4,18020,15,13,2,43,3,29,1,9,
2011,Financial District/South Beach,1780,45,55,1010,29,3,75,60,1.6,2.7,6,47,39,0.6,0.2,7,4,0,3,26,48,23,,36,29,27,7,34,65,3,30,0,2,1420,-10,1939,71,29,7,93,2010,2010,,3,1,0,7,84,817,1000000,35,280,7,93,660,69,72,29621,34348,33704,26,6,700,39,17,27,1,16,680,13,10,3,13,2,61,0,12,
2011,Golden Gate Park,170,33,67,30,3,0,35,35,1.3,2,7,3,83,0.6,0.6,6,0,0,0,30,70,0,,0,0,100,0,70,30,0,35,0,33,40,0,1939,92,8,0,100,,1989,,48,52,0,0,0,1500,,31,,,,0,,0,127083,68182,67288,0,0,20,100,0,0,0,0,20,48,48,0,52,0,0,0,0,
2011,Haight Ashbury,21800,49,51,10520,31,12,70,42,2,2.8,5,10,77,0.4,0.1,8,9,5,4,44,35,11,,10,18,43,29,16,83,4,4,8,1,11300,10,1939,93,7,29,71,2001,2010,,15,40,23,14,8,1597,931126,26,10660,42,58,3330,9,40,91586,122111,60920,12,5,15600,70,10,16,3,1,15380,32,27,5,41,8,8,2,9,
2011,Inner Sunset,26520,52,48,11860,46,17,53,34,2.2,2.9,2,33,58,0.2,0.1,7,5,5,7,35,35,18,,13,17,36,34,28,64,3,21,11,1,12650,10,1947,94,6,40,60,1993,2010,,40,32,11,10,7,1532,884943,25,15750,49,51,1700,8,19,91239,119983,53882,8,4,16510,65,11,17,3,4,16250,48,39,9,30,3,9,2,8,
2011,Mission,57300,45,55,23230,37,17,59,36,2.4,3.6,4,13,57,1.3,0.3,25,38,5,8,37,37,13,,34,17,32,17,37,50,34,11,5,0,24850,120,1939,93,7,26,74,2002,2010,,24,30,16,12,19,1175,724390,26,18300,40,60,9270,12,51,65193,60464,40581,14,6,34900,46,22,18,7,7,34360,30,23,6,43,9,11,2,6,
2011,North Beach,14860,49,51,8270,34,8,63,52,1.8,2.8,3,37,54,0.1,0.2,5,8,2,6,33,34,26,,28,14,33,25,42,52,5,34,8,2,9420,0,1960,88,12,21,79,1998,2010,,5,26,14,8,47,1562,834296,26,5840,32,68,3280,13,48,69992,82375,57644,14,7,8950,55,18,20,2,5,8750,28,24,4,27,1,34,2,9,
2011,Sunset/Parkside,25920,52,48,8970,68,26,29,20,2.9,3.5,1,58,35,0.2,0.2,6,7,4,11,24,37,24,,37,20,30,14,43,44,5,44,7,0,9390,0,1944,96,4,66,34,1991,2010,,78,16,4,2,0,1520,710978,26,13940,70,30,1090,10,19,81098,97671,34524,8,9,12890,45,16,27,4,8,12460,63,52,11,29,1,2,1,5,
2011,South of Market,31370,41,59,17020,27,8,57,46,1.6,2.7,9,33,48,0.8,0.3,9,12,4,5,36,38,17,,27,20,31,22,39,55,10,25,10,0,20050,350,1993,85,15,30,70,2010,2010,,3,7,5,8,78,1129,738652,26,8910,50,50,6830,10,65,67171,81517,60263,20,7,14920,60,13,20,3,4,14430,31,27,4,27,4,28,1,8,
