1100 Block of MARKET ST,34,2,5,10,OTHER OFFENSES,15150,5/28/2008 0:00,Wednesday,VIOLATION OF RESTRAINING ORDER,80558160,1/1/1900 9:03,2008,37.77951403,-122.4135641,SOUTHERN,"ARREST, BOOKED",32,3,South of Market,"-122.4135641, 37.77951403",1
1100 Block of POST ST,36,2,4,3,SUSPICIOUS OCC,64060,4/29/2007 0:00,Sunday,SUSPICIOUS ACT TOWARDS FEMALE,70442200,1/1/1900 22:00,2007,37.78666701,-122.4207538,NORTHERN,UNFOUNDED,50,1,Tenderloin,"-122.4207538, 37.78666701",1
5TH ST / FOLSOM ST,34,2,1,10,OTHER OFFENSES,65016,3/23/2012 0:00,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",120236133,1/1/1900 13:00,2012,37.78026558,-122.4033904,SOUTHERN,"ARREST, CITED",32,3,South of Market,"-122.4033904, 37.78026558",1
700 Block of STANYAN ST,3,1,7,11,WARRANTS,63010,1/31/2008 0:00,Thursday,WARRANT ARREST,60668789,1/1/1900 9:05,2008,37.76871427,-122.4533763,PARK,"ARREST, BOOKED",25,3,Haight Ashbury,"-122.4533763, 37.76871427",1
1000 Block of VANNESS AV,36,2,4,10,LARCENY/THEFT,6242,7/27/2008 0:00,Sunday,PETTY THEFT FROM LOCKED AUTO,80789553,1/1/1900 9:40,2008,37.78499964,-122.4210923,NORTHERN,NONE,20,0,Tenderloin,"-122.4210923, 37.78499964",1
100 Block of BUENA VISTA TER,5,1,7,5,LARCENY/THEFT,6304,1/9/2012 0:00,Monday,GRAND THEFT FROM A BUILDING,120025306,1/1/1900 23:00,2012,37.76650769,-122.4383848,PARK,NONE,113,0,Castro/Upper Market,"-122.4383848, 37.76650769",1
0 Block of PHELAN AV,41,1,9,8,LARCENY/THEFT,6301,2/4/2013 0:00,Monday,PETTY THEFT FROM A BUILDING,130100283,1/1/1900 13:00,2013,37.72569336,-122.4522897,INGLESIDE,NONE,95,0,West of Twin Peaks,"-122.4522897, 37.72569336",1
1600 Block of THE EMBARCADERO NORTH ST,23,2,6,3,NON-CRIMINAL,71000,11/22/2003 0:00,Saturday,LOST PROPERTY,31381811,1/1/1900 16:00,2003,37.80843502,-122.4107742,CENTRAL,NONE,99,3,North Beach,"-122.4107742, 37.80843502",1
1900 Block of FRANKLIN ST,30,1,4,6,TRESPASS,27195,5/16/2007 0:00,Wednesday,TRESPASSING,70497506,1/1/1900 22:30,2007,37.79240308,-122.4244993,NORTHERN,NONE,102,1,Pacific Heights,"-122.4244993, 37.79240308",1
200 Block of CARDENAS AV,16,2,10,8,ASSAULT,4134,5/1/2007 0:00,Tuesday,BATTERY,70445323,1/1/1900 16:20,2007,37.71913836,-122.4759741,TARAVAL,NONE,42,0,Lakeshore,"-122.4759741, 37.71913836",1
0 Block of THE EMBARCADEROSOUTH ST,8,1,1,10,ASSAULT,19057,6/17/2006 0:00,Saturday,THREATS AGAINST LIFE,60643010,1/1/1900 13:35,2006,37.78331041,-122.3883799,SOUTHERN,"ARREST, BOOKED",31,0,Financial District/South Beach,"-122.38837990000002, 37.78331041",1
800 Block of MARKET ST,34,2,5,10,LARCENY/THEFT,6363,12/24/2003 0:00,Wednesday,PETTY THEFT SHOPLIFTING,31491971,1/1/1900 16:32,2003,37.78418935,-122.4076335,SOUTHERN,"ARREST, CITED",32,0,South of Market,"-122.4076335, 37.78418935",1
0 Block of OTTAWA AV,28,2,9,1,ROBBERY,3014,12/24/2011 0:00,Saturday,"ROBBERY ON THE STREET, STRONGARM",111027632,1/1/1900 12:15,2011,37.71430713,-122.4446963,INGLESIDE,NONE,66,0,Outer Mission,"-122.4446963, 37.71430713",1
